,month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
0,2020-02,Alabama,29633.0,604.0,24590.0,12531.0,1225.0,1217,0.0,45.0,23.0,3.0,3659.0,1733.0,18.0,0.0,0.0,0.0,0.0,0.0,32.0,17.0,3.0,0.0,3.0,0.0,75336
1,2020-02,Alaska,139.0,10.0,2560.0,1839.0,311.0,203,0.0,0.0,0.0,1.0,215.0,119.0,2.0,30.0,24.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,5466
2,2020-02,Arizona,6138.0,741.0,16839.0,8006.0,1424.0,1392,0.0,20.0,4.0,0.0,1683.0,722.0,6.0,87.0,19.0,0.0,0.0,0.0,9.0,7.0,2.0,1.0,0.0,0.0,37100
3,2020-02,Arkansas,2994.0,731.0,8112.0,5453.0,363.0,542,4.0,15.0,20.0,1.0,1497.0,1680.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,8.0,4.0,0.0,0.0,0.0,21445
4,2020-02,California,32002.0,0.0,35570.0,22645.0,4221.0,0,0.0,0.0,0.0,0.0,557.0,417.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95430
5,2020-02,Colorado,6336.0,0.0,19931.0,11285.0,1505.0,1149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,42.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40549
6,2020-02,Connecticut,5679.0,396.0,5341.0,1961.0,3468.0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16851
7,2020-02,Delaware,413.0,0.0,2103.0,1386.0,130.0,78,0.0,0.0,0.0,0.0,17.0,7.0,0.0,85.0,0.0,0.0,0.0,0.0,73.0,23.0,3.0,2.0,1.0,0.0,4321
8,2020-02,District of Columbia,403.0,0.0,97.0,4.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551
9,2020-02,Florida,21258.0,0.0,59653.0,20306.0,3748.0,2710,1.0,19.0,14.0,2.0,5359.0,1646.0,9.0,917.0,85.0,4.0,0.0,0.0,281.0,113.0,25.0,45.0,43.0,0.0,116238
